Week,Phase,Accuracy Rate,Completeness Rate,Timeliness Rate
2025-02-02,Pre,0.9099342830602247,0.8360974692156261,0.7732824384460777
2025-02-09,Pre,0.8972347139765763,0.8360281073928922,0.6887111849756732
2025-02-16,Pre,0.9129537707620139,0.857258868146981,0.7033764102343961
2025-02-23,Pre,0.9304605971281605,0.7926015926602661,0.6287625906893272
2025-03-02,Pre,0.8953169325055333,0.798252465024609,0.6727808637737408
2025-03-09,Post,0.9376586304305081,0.8987542494151806,0.803327677691296
2025-03-16,Post,0.9557921281550739,0.8897433775933116,0.765470192677331
2025-03-23,Post,0.947674347291529,0.9162849466519055,0.8112709405503702
2025-03-30,Post,0.9353052561406504,0.8918395184895758,0.7819808393024359
2025-04-06,Post,0.9454256004358595,0.8817539259732942,0.7912491875062018
